,codigo_ocorrencia,ocorrencia_classificacao,ocorrencia_uf,ocorrencia_aerodromo,ocorrencia_dia,ocorrencia_hora,ocorrencia_tipo,aeronave_operador_categoria,aeronave_tipo_veiculo
1698,46574,INCIDENTE,DF,SBBR,2012-10-24,22:50:00,DESCOMPRESSÃO NÃO INTENCIONAL / EXPLOSIVA,REGULAR,AVIÃO
1699,46498,ACIDENTE,BA,****,2012-10-25,13:00:00,PERDA DE CONTROLE EM VOO,***,HELICÓPTERO
1700,46512,ACIDENTE,SP,****,2012-10-25,15:00:00,PANE SECA,PARTICULAR,AVIÃO
1701,46675,INCIDENTE,BA,SBQV,2012-10-25,11:00:00,COM PARA-BRISAS / JANELA / PORTA,REGULAR,AVIÃO
1702,46676,INCIDENTE,MG,****,2012-10-25,17:48:00,TRÁFEGO AÉREO,REGULAR,AVIÃO
1703,52069,INCIDENTE,RJ,SBJR,2012-10-25,18:33:00,COM TREM DE POUSO,TÁXI AÉREO,HELICÓPTERO
1704,46698,INCIDENTE,RJ,SBCB,2012-10-26,15:42:00,COLISÃO COM AVE,TÁXI AÉREO,HELICÓPTERO
1705,46499,ACIDENTE,MG,****,2012-10-27,19:30:00,FALHA DO MOTOR EM VOO,***,AVIÃO
1706,46624,INCIDENTE,GO,SBGO,2012-10-27,12:00:00,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,PARTICULAR,AVIÃO
1707,46639,INCIDENTE,RJ,SBRJ,2012-10-27,22:00:00,INDETERMINADO,PARTICULAR,AVIÃO
1708,46677,INCIDENTE,SP,SBGR,2012-10-27,21:12:00,TRÁFEGO AÉREO,REGULAR,AVIÃO
1709,52070,INCIDENTE,AC,SBRB,2012-10-27,16:15:00,COM TREM DE POUSO,PARTICULAR,AVIÃO
1710,46576,INCIDENTE GRAVE,MG,SBIP,2012-10-28,17:30:00,FALHA DO MOTOR EM VOO,***,AVIÃO
1711,46679,INCIDENTE,PA,SNKE,2012-10-28,11:30:00,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,PARTICULAR,AVIÃO
1712,46575,INCIDENTE,PE,SBRF,2012-10-29,02:45:00,DESCOMPRESSÃO NÃO INTENCIONAL / EXPLOSIVA,REGULAR,AVIÃO
